course_id,course_name,category
1,Art of living,Spiritual
2,Introduction to Bhagvadgita,Spiritual
3,Pranvidya,Spiritual
4,Yog Vidya,Spiritual
5,Mentoring School Children (Abhyudaya),Social
6,Mentorship to Juniors,Social
7,NSS,Social
8,Principle Centered Leadership,Social
9,Teaching Assistantship,Social
10,Terrace Gardening,Social
11,Volunteering at Dr. Amte's Anandvan,Social
12,Wall Painting,Social
13,Working with NGO,Social
14,Astitva,Physical
15,Kathak,Physical
16,Physical Fitness,Physical
17,Running,Physical
18,Self Defense for Women,Physical
19,Skipping,Physical
20,Sports,Physical
21,Staircase Climbing,Physical
22,Swimming,Physical
23,Taekwondo,Physical
24,Trekking,Physical
25,Basic Cooking,Intellectual
26,Basics of Fire Safety,Intellectual
27,Basics of Keyboard playing,Intellectual
28,Basics of Music Composition,Intellectual
29,Design Thinking,Intellectual
30,Film Appreciation,Intellectual
31,Fundamentals of Photography,Intellectual
32,Idea Lab,Intellectual
33,Indian Knowledge System,Intellectual
34,Innovation and Creativity,Intellectual
35,Read a book,Intellectual
36,Cinematography,Intellectual
37,Social Psychology,Intellectual
38,Study of Life,Intellectual
39,Technology Entrepreneurship,Intellectual
40,Integrated Personality Development,Emotional
41,Jeevan Vidya (Work Life Balance),Emotional
42,Universal Human Value,Emotional
